,am,ar,bg,bn,ca,ckb,cs,cy,da,de,dv,el,en,es,et,eu,fa,fi,fr,gu,hi,ht,hu,hy,in,is,it,iw,ja,ka,kn,ko,lt,lv,ml,mr,my,ne,nl,no,or,pa,pl,ps,pt,ro,ru,si,sl,sr,sv,ta,te,th,tl,tr,uk,und,ur,vi,zh,unique_users,row_count,text_duplicated_count,date,am_dupl,ar_dupl,bg_dupl,bn_dupl,ca_dupl,ckb_dupl,cs_dupl,cy_dupl,da_dupl,de_dupl,dv_dupl,el_dupl,en_dupl,es_dupl,et_dupl,eu_dupl,fa_dupl,fi_dupl,fr_dupl,gu_dupl,hi_dupl,ht_dupl,hu_dupl,hy_dupl,in_dupl,is_dupl,it_dupl,iw_dupl,ja_dupl,ka_dupl,kn_dupl,ko_dupl,lt_dupl,lv_dupl,ml_dupl,mr_dupl,my_dupl,ne_dupl,nl_dupl,no_dupl,or_dupl,pa_dupl,pl_dupl,ps_dupl,pt_dupl,ro_dupl,ru_dupl,si_dupl,sl_dupl,sr_dupl,sv_dupl,ta_dupl,te_dupl,th_dupl,tl_dupl,tr_dupl,uk_dupl,und_dupl,ur_dupl,vi_dupl,zh_dupl,sd,sd_dupl,km,km_dupl,lo,ug,lo_dupl,ug_dupl,bo,bo_dupl
75,3.0,116,43,36,68,2.0,77,17,63,2753,0.0,201,18819,1342,86,61,70,169,2018,29,96,76,7,1.0,194,22,2325,63,424,27,26,31,34,37,1.0,1,0.0,0.0,300,43,0.0,2.0,208,2.0,222,85,1283,0.0,24,32,95,26,29,121,54,512,2874,4596,31,128,145,16258,40151,291,2022-09-04,0.0,5,0,0,0,0.0,0,0,0,2,0.0,0,161,3,1,0,0,1,1,0,1,0,0,0.0,1,0,4,0,7,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,1,0,1,0.0,0,0,1,0,0,1,0,21,1,72,0,0,6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,30.0,1537,19,119,367,5.0,431,73,388,16271,0.0,593,282420,11254,651,62,368,1601,24168,90,2198,185,41,3.0,1692,17,18070,137,5319,20,65,809,67,169,44.0,65,7.0,10.0,1335,118,83.0,13.0,4481,9.0,1349,348,2420,2.0,93,28,421,401,60,1261,20514,3517,2881,18844,192,42,759,217986,428539,260864,2022-03-14,11.0,606,1,11,181,0.0,159,14,171,9356,0.0,270,191263,7110,194,3,178,903,17641,22,1055,21,3,1.0,237,0,11948,47,3331,8,7,738,12,105,12.0,15,1.0,1.0,539,28,44.0,2.0,2888,2.0,364,150,1191,0.0,32,6,196,149,7,913,64,1803,2078,4265,86,1,420,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
77,19.0,831,43,67,236,6.0,254,25,198,21759,0.0,761,212825,6975,252,53,185,616,14711,85,893,98,26,1.0,525,27,15560,70,2420,44,46,42,55,210,13.0,24,4.0,3.0,1150,100,12.0,9.0,1785,10.0,832,257,2585,3.0,60,54,401,215,43,1028,88,1115,4513,11828,195,126,685,139455,307057,226838,2022-05-03,1.0,461,4,5,91,1.0,121,10,58,14457,0.0,509,167643,3991,115,0,113,266,11524,18,411,5,12,0.0,178,1,10259,13,1467,18,1,3,13,129,0.0,3,2.0,0.0,753,36,1.0,1.0,992,6.0,241,139,1667,0.0,13,26,159,83,1,856,18,710,3870,5000,105,12,246,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,10.0,1568,48,77,329,16.0,588,184,583,19645,0.0,726,282469,10394,280,33,266,1485,23817,81,1291,71,11,1.0,577,9,16867,92,8824,13,45,145,57,367,20.0,54,4.0,4.0,835,94,18.0,6.0,4588,2.0,966,357,5609,9.0,169,17,391,390,51,958,107,2324,6981,15895,551,81,1000,198935,412455,294133,2022-03-23,3.0,757,14,5,153,3.0,312,163,412,12232,0.0,386,212644,6731,124,5,180,1083,17115,31,602,20,1,0.0,238,0,10546,34,7048,1,7,71,13,291,5.0,7,0.0,0.0,371,33,7.0,0.0,3208,0.0,308,146,4249,2.0,111,3,189,263,6,666,58,1093,5787,5233,456,14,693,1.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
79,128.0,822,44,75,322,6.0,1096,56,1314,20381,9.0,1253,254307,8444,277,45,294,1250,18366,62,840,114,6,1.0,378,23,17338,71,2665,48,35,142,65,101,12.0,22,17.0,7.0,1104,167,18.0,9.0,2201,4.0,759,190,4227,0.0,106,45,633,131,56,913,61,1438,5205,12999,122,74,1125,136332,362024,291145,2022-04-23,104.0,560,7,11,204,0.0,945,30,1205,14262,8.0,1029,215929,6584,185,6,208,735,15157,13,477,35,0,0.0,107,1,12831,13,1719,18,0,100,13,61,0.0,6,7.0,2.0,703,111,8.0,0.0,1585,0.0,311,100,3188,0.0,64,9,462,31,4,690,12,943,4315,5263,55,11,708,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,2.0,256,51,120,99,2.0,108,25,77,3088,0.0,139,48932,2490,147,69,72,151,2810,188,1687,97,38,2.0,554,28,2065,53,450,16,76,54,38,41,29.0,77,4.0,8.0,431,50,22.0,21.0,386,3.0,421,120,1303,1.0,40,36,110,198,95,202,132,542,2708,10975,172,78,193,40798,82385,1363,2022-12-22,0.0,0,0,0,0,0.0,0,0,0,6,0.0,0,229,11,0,0,0,1,1,3,10,0,0,0.0,0,0,4,0,7,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,2,0.0,0,0,1,0.0,0,0,0,0,2,0,0,0,0,1086,0,0,0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
81,7.0,117,43,43,47,3.0,62,17,65,1967,0.0,113,22022,1207,92,62,71,115,1585,29,187,49,5,0.0,214,18,1120,56,475,27,22,48,26,31,4.0,2,3.0,2.0,282,59,1.0,2.0,180,0.0,262,98,1541,0.0,35,28,76,61,26,77,63,306,2915,4697,79,63,180,17341,40988,346,2022-08-13,0.0,11,0,0,0,0.0,0,0,0,1,0.0,0,199,2,2,0,0,0,0,0,0,0,0,0.0,0,0,10,0,6,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,2,0,108,3,0,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,59.0,1185,45,38,269,6.0,434,60,183,21196,1.0,893,246272,14556,454,72,382,1426,20381,64,971,123,23,1.0,389,25,17835,89,3668,56,21,66,37,376,6.0,23,6.0,5.0,1521,285,17.0,5.0,2968,6.0,629,283,3012,0.0,92,38,604,112,29,1064,140,1613,5123,16338,131,78,845,168644,366631,267738,2022-04-14,25.0,684,7,0,157,0.0,204,30,56,13912,0.0,474,188273,11267,274,22,220,791,16830,14,515,31,1,0.0,120,2,11870,23,2432,21,0,9,0,307,0.0,4,3.0,0.0,896,111,5.0,0.0,2092,0.0,174,138,1925,0.0,54,8,311,25,1,800,48,738,4128,7187,55,10,454,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
83,7.0,169,60,44,137,3.0,266,35,98,4387,0.0,288,38504,2906,135,55,78,495,4131,33,256,67,14,0.0,290,25,2573,62,604,26,21,54,50,118,6.0,6,2.0,2.0,472,68,2.0,9.0,550,3.0,518,171,1708,1.0,53,35,174,55,24,110,64,536,5451,13288,67,176,182,38225,79725,1508,2022-08-24,0.0,8,0,0,0,0.0,0,7,0,6,0.0,0,383,3,0,0,0,1,9,0,3,1,0,0.0,0,0,2,0,11,0,0,0,0,0,0.0,0,0.0,0.0,2,0,0.0,0.0,1,0.0,0,0,1,0.0,0,0,0,0,0,0,0,2,7,1059,0,0,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,1.0,75,28,48,85,1.0,69,9,69,1996,0.0,109,23550,1473,102,55,45,121,1499,51,177,78,14,2.0,270,27,1423,44,336,26,29,65,37,37,8.0,7,0.0,5.0,177,34,0.0,6.0,191,0.0,225,106,1362,2.0,25,30,94,44,39,77,50,337,3230,8901,64,132,124,20827,47221,4315,2022-12-15,0.0,0,0,0,3,0.0,0,0,0,0,0.0,0,130,10,2,0,1,0,0,0,1,0,0,0.0,0,0,2,0,5,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,10,4148,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
