weeks,language,len
2022-24,de,221.17266499817876
2022-24,en,214.3593533283705
2022-24,es,222.579784361185
2022-24,fr,222.6697460524174
2022-24,it,214.81784357701233
2022-24,ru,189.9364830661685
2022-24,uk,206.49091310426016
2022-25,de,225.26388008332577
2022-25,en,216.38936566525808
2022-25,es,218.63847224369877
2022-25,fr,223.9264266767715
2022-25,it,216.92283511581758
2022-25,ru,190.5383696780893
2022-25,uk,203.78545963840082
2022-26,de,225.7344560610342
2022-26,en,214.86669653944568
2022-26,es,220.74636392347202
2022-26,fr,223.75572818219538
2022-26,it,216.05256526559822
2022-26,ru,188.25608553485233
2022-26,uk,195.4675157509654
2022-27,de,222.60350738216533
2022-27,en,214.8300114345153
2022-27,es,213.79668207618937
2022-27,fr,228.14876085141245
2022-27,it,213.5800379976141
2022-27,ru,179.59169571332478
2022-27,uk,200.50757092763786
2022-28,de,222.83057789592178
2022-28,en,213.6769509004861
2022-28,es,220.15419787150176
2022-28,fr,230.6308333449872
2022-28,it,210.36774595996025
2022-28,ru,188.93141473910705
2022-28,uk,186.74419460806524
2022-29,de,225.5208530805687
2022-29,en,217.91569052207777
2022-29,es,216.6355592423614
2022-29,fr,221.604754414078
2022-29,it,211.4578507892637
2022-29,ru,187.06759772973663
2022-29,uk,192.2242912729294
2022-30,de,218.90448671277758
2022-30,en,219.29139235815572
2022-30,es,213.99641745770248
2022-30,fr,225.27777702141563
2022-30,it,219.90143613826243
2022-30,ru,194.2700283780834
2022-30,uk,202.55458552059062
2022-31,de,229.25431975339498
2022-31,en,202.7343096002289
2022-31,es,214.3782025486251
2022-31,fr,220.90785741386475
2022-31,it,220.43042927085153
2022-31,ru,164.26283185840708
2022-31,uk,151.3233830845771
2022-32,de,208.5805793285056
2022-32,en,195.08980370511287
2022-32,es,199.1674488903031
2022-32,fr,203.06333557397863
2022-32,it,207.65126006483322
2022-32,ru,140.57944708182072
2022-32,uk,118.68149087450749
2022-33,de,208.34597294283083
2022-33,en,195.5647227638039
