,ar,bg,bn,ca,ckb,cs,cy,da,de,el,en,es,et,eu,fa,fi,fr,gu,hi,ht,hu,in,is,it,iw,ja,ka,kn,ko,lt,lv,ml,mr,my,ne,nl,no,or,pa,pl,ps,pt,ro,ru,si,sl,sr,sv,ta,te,th,tl,tr,uk,und,ur,vi,zh,unique_users,row_count,text_duplicated_count,date,ar_dupl,bg_dupl,bn_dupl,ca_dupl,ckb_dupl,cs_dupl,cy_dupl,da_dupl,de_dupl,el_dupl,en_dupl,es_dupl,et_dupl,eu_dupl,fa_dupl,fi_dupl,fr_dupl,gu_dupl,hi_dupl,ht_dupl,hu_dupl,in_dupl,is_dupl,it_dupl,iw_dupl,ja_dupl,ka_dupl,kn_dupl,ko_dupl,lt_dupl,lv_dupl,ml_dupl,mr_dupl,my_dupl,ne_dupl,nl_dupl,no_dupl,or_dupl,pa_dupl,pl_dupl,ps_dupl,pt_dupl,ro_dupl,ru_dupl,si_dupl,sl_dupl,sr_dupl,sv_dupl,ta_dupl,te_dupl,th_dupl,tl_dupl,tr_dupl,uk_dupl,und_dupl,ur_dupl,vi_dupl,zh_dupl,am,am_dupl,hy,sd,hy_dupl,sd_dupl,km,km_dupl,dv,dv_dupl,lo,lo_dupl,ug,ug_dupl
79,194,49,37,99,0.0,132,18.0,86,2021,113,25339,1027,130,59,99,149,2239,42,471,77,9.0,314,20.0,1248,66,442,23.0,34,52,46,29,5.0,21.0,2.0,4.0,222,43,7.0,5.0,172,4.0,211,102,1012,2.0,31,31.0,83,66,41.0,74,75,216,2569,6376,129,91,153,21151,46415,584,2023-01-01,0,0,0,2,0.0,0,0.0,0,9,0,179,3,1,0,0,0,11,0,1,0,0.0,1,0.0,10,0,4,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.0,0,1,1,2,321,0,0,38,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
80,327,39,44,526,0.0,140,36.0,65,7223,204,70368,8385,512,27,53,152,7005,49,434,63,21.0,316,24.0,4200,35,377,24.0,22,24,33,34,4.0,10.0,1.0,4.0,659,53,4.0,0.0,264,1.0,477,377,1107,2.0,101,13.0,124,54,37.0,100,45,804,2052,10889,133,110,69,62630,118267,75772,2023-06-06,164,0,2,380,0.0,47,23.0,17,4720,79,48269,7093,453,6,14,25,5254,8,238,17,2.0,39,3.0,2995,0,145,1.0,1,4,3,3,0.0,2.0,1.0,0.0,311,19,0.0,0.0,86,0.0,222,193,156,0.0,63,0.0,29,13,4.0,50,7,491,674,3346,67,20,11,6.0,2.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,82,48,40,70,0.0,95,18.0,65,3676,77,19548,1077,79,45,43,211,2124,26,139,57,11.0,212,28.0,2005,49,222,15.0,38,44,49,35,2.0,8.0,1.0,7.0,288,39,4.0,3.0,254,1.0,198,83,933,1.0,19,36.0,140,44,25.0,57,48,313,2415,4453,61,81,218,15647,39961,318,2023-01-29,1,0,0,0,0.0,10,1.0,0,13,0,138,6,2,0,0,1,0,0,1,0,0.0,5,0.0,4,0,6,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,4,0,0,0.0,0,0.0,0,0,0.0,0,0,1,0,115,0,0,10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,301,42,42,116,0.0,118,26.0,95,8273,288,85303,6176,174,45,87,330,9305,69,420,77,14.0,476,26.0,4856,48,677,19.0,38,126,37,56,13.0,21.0,8.0,7.0,282,168,3.0,9.0,553,5.0,561,219,2085,2.0,31,27.0,176,87,27.0,114,95,867,2781,7243,134,155,123,62989,133460,89964,2023-04-01,138,6,1,28,0.0,41,10.0,30,6081,155,60441,4774,39,6,29,115,7767,7,164,3,3.0,85,0.0,3940,0,331,0.0,0,20,4,33,0.0,1.0,5.0,0.0,87,127,1.0,1.0,346,3.0,200,114,1280,0.0,4,0.0,80,20,0.0,48,11,628,908,1746,57,26,18,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,1751,48,102,150,5.0,143,23.0,115,8212,157,49729,5356,162,61,127,318,5300,77,721,87,19.0,648,24.0,6032,53,2183,29.0,43,179,144,41,13.0,27.0,6.0,11.0,656,62,9.0,8.0,1495,50.0,897,181,1414,2.0,43,43.0,136,92,51.0,1114,119,2705,2311,9025,852,86,375,49224,103828,1050,2023-02-21,34,0,0,0,0.0,9,0.0,0,11,0,745,26,0,0,1,0,14,0,0,0,0.0,2,0.0,8,0,15,1.0,0,7,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,8,0.0,3,0,0,0.0,0,0.0,0,0,0.0,0,0,7,0,157,2,0,0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
84,282,55,51,792,0.0,145,24.0,96,9442,401,111127,11282,128,66,200,291,11670,41,385,87,19.0,389,37.0,10137,78,803,19.0,32,79,43,73,8.0,19.0,8.0,6.0,542,73,6.0,20.0,1301,0.0,655,442,1609,3.0,52,29.0,217,81,24.0,111,92,1226,2887,7605,154,161,279,73204,175898,126707,2023-03-19,152,10,2,659,0.0,57,2.0,28,6613,226,83912,8190,31,0,139,141,9661,2,117,9,7.0,61,0.0,8361,23,408,0.0,0,11,2,38,0.0,8.0,5.0,1.0,292,11,1.0,9.0,1022,0.0,310,312,841,0.0,26,0.0,86,10,1.0,42,16,753,932,2971,45,51,96,5.0,3.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
85,130,46,58,104,0.0,110,8.0,77,3404,168,25563,1924,111,58,65,159,2197,48,330,81,8.0,340,27.0,1815,56,280,25.0,44,40,32,44,3.0,15.0,2.0,7.0,246,53,1.0,21.0,315,2.0,334,108,1137,4.0,25,25.0,105,70,47.0,57,78,406,2550,4968,330,54,89,22040,48411,425,2023-02-16,1,0,0,1,0.0,10,0.0,0,12,0,184,12,0,0,0,0,5,0,2,0,0.0,0,0.0,19,0,6,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,2,1,2,0.0,0,0.0,0,0,0.0,0,1,0,1,166,0,0,0,3.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,286,43,61,128,0.0,145,39.0,134,5905,171,75503,5669,177,47,127,776,6359,53,829,92,14.0,595,23.0,4812,50,654,29.0,39,314,39,59,17.0,28.0,15.0,12.0,280,404,6.0,12.0,342,6.0,424,201,1677,3.0,70,34.0,136,127,43.0,163,73,1290,3384,7840,395,184,174,61264,120532,65748,2023-03-31,123,7,2,29,0.0,53,22.0,71,3641,61,43662,3704,43,0,68,45,4652,2,434,1,2.0,85,0.0,3405,1,248,2.0,2,219,2,23,0.0,22.0,11.0,1.0,85,369,0.0,1.0,119,1.0,98,77,744,0.0,23,1.0,18,33,0.0,36,6,496,908,1839,163,36,34,18.0,17.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,719,49,83,119,8.0,139,23.0,114,3825,309,40364,2707,168,81,160,167,6235,93,917,183,22.0,1328,29.0,3394,56,847,28.0,37,70,36,47,28.0,38.0,1.0,10.0,642,59,18.0,19.0,429,11.0,486,139,1352,6.0,45,40.0,132,182,64.0,297,219,13614,2514,13107,745,98,139,51267,96802,1574,2023-02-09,3,0,0,1,0.0,8,0.0,0,4,0,826,8,1,0,0,0,18,0,7,0,0.0,5,0.0,2,0,8,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0,0.0,3,0,1,0.0,0,0.0,1,0,0.0,0,10,208,1,458,0,0,0,4.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
88,19,16,7,30,0.0,40,0.0,7,222,34,6408,5017,28,32,9,17,2103,8,44,23,1.0,158,5.0,2410,13,37,7.0,10,11,4,9,0.0,0.0,0.0,0.0,51,10,0.0,1.0,67,0.0,226,62,480,0.0,12,1.0,11,10,6.0,25,13,47,1830,762,27,93,15,10821,20478,12340,2023-05-26,5,0,0,9,0.0,14,0.0,1,103,6,3477,4235,0,15,1,0,1947,0,15,0,0.0,87,0.0,1880,0,2,0.0,0,0,0,0,0.0,0.0,0.0,0.0,6,0,0.0,0.0,16,0.0,67,31,20,0.0,1,0.0,3,3,0.0,7,0,20,13,291,10,55,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
