,coherence,diversity,score,topic,eval
60,-0.3381251196535443,0.68,0.36,hdbscan_eng_model_cleaned_text_embeddings,translated_nouns_adjs_verbs
61,-0.3039413039382395,0.76,0.36,hdbscan_eng_model_cleaned_text_embeddings,nouns_adjs_verbs
62,-0.3345053467997209,0.69,0.36,hdbscan_eng_model_cleaned_text_embeddings,translated_stop_word_removed_lemmas
63,-0.29992117893800685,0.785,0.36,hdbscan_eng_model_cleaned_text_embeddings,stop_word_removed_lemmas
64,-0.1748860293113203,0.735,0.72,hdbscan_model_labse_lemmas_embeddings,translated_nouns_adjs_verbs
65,-0.173425079685743,0.81,0.72,hdbscan_model_labse_lemmas_embeddings,nouns_adjs_verbs
66,-0.16050352894781267,0.74,0.72,hdbscan_model_labse_lemmas_embeddings,translated_stop_word_removed_lemmas
67,-0.1500740846280326,0.825,0.72,hdbscan_model_labse_lemmas_embeddings,stop_word_removed_lemmas
68,-0.1654924384815229,0.74,0.83,hdbscan_model_parahprase_min_lemmas_embeddings,translated_nouns_adjs_verbs
69,-0.18969646817545444,0.815,0.83,hdbscan_model_parahprase_min_lemmas_embeddings,nouns_adjs_verbs
70,-0.1444965910822307,0.745,0.83,hdbscan_model_parahprase_min_lemmas_embeddings,translated_stop_word_removed_lemmas
71,-0.1706561270761326,0.825,0.83,hdbscan_model_parahprase_min_lemmas_embeddings,stop_word_removed_lemmas
72,-0.1770880171619065,0.725,0.73,hdbscan_model_parahprase_max_lemmas_embeddings,translated_nouns_adjs_verbs
73,-0.18115410990575237,0.795,0.73,hdbscan_model_parahprase_max_lemmas_embeddings,nouns_adjs_verbs
74,-0.162077446386095,0.73,0.73,hdbscan_model_parahprase_max_lemmas_embeddings,translated_stop_word_removed_lemmas
75,-0.16762892785536382,0.82,0.73,hdbscan_model_parahprase_max_lemmas_embeddings,stop_word_removed_lemmas
76,-0.29419723688656313,0.665,0.38,hdbscan_eng_model_lemmas_embeddings,translated_nouns_adjs_verbs
77,-0.2571631587953088,0.735,0.38,hdbscan_eng_model_lemmas_embeddings,nouns_adjs_verbs
78,-0.28161864538670933,0.68,0.38,hdbscan_eng_model_lemmas_embeddings,translated_stop_word_removed_lemmas
79,-0.26235614034524224,0.76,0.38,hdbscan_eng_model_lemmas_embeddings,stop_word_removed_lemmas
80,-0.20269144009790513,0.7,0.44,hdbscan_model_labse_adjs_verbs_embeddings,translated_nouns_adjs_verbs
81,-0.17215974696673364,0.775,0.44,hdbscan_model_labse_adjs_verbs_embeddings,nouns_adjs_verbs
82,-0.20539022714319083,0.7375,0.44,hdbscan_model_labse_adjs_verbs_embeddings,translated_stop_word_removed_lemmas
83,-0.15872246729167272,0.8,0.44,hdbscan_model_labse_adjs_verbs_embeddings,stop_word_removed_lemmas
84,-0.1853775679294713,0.735,0.39,hdbscan_model_parahprase_min_adjs_verbs_embeddings,translated_nouns_adjs_verbs
85,-0.12704282289023158,0.82,0.39,hdbscan_model_parahprase_min_adjs_verbs_embeddings,nouns_adjs_verbs
86,-0.1896851060105112,0.735,0.39,hdbscan_model_parahprase_min_adjs_verbs_embeddings,translated_stop_word_removed_lemmas
87,-0.11997593872019956,0.84,0.39,hdbscan_model_parahprase_min_adjs_verbs_embeddings,stop_word_removed_lemmas
88,-0.20437180998785812,0.755,0.39,hdbscan_model_parahprase_max_adjs_verbs_embeddings,translated_nouns_adjs_verbs
89,-0.16007788080773205,0.825,0.39,hdbscan_model_parahprase_max_adjs_verbs_embeddings,nouns_adjs_verbs
90,-0.19425734135106673,0.75,0.39,hdbscan_model_parahprase_max_adjs_verbs_embeddings,translated_stop_word_removed_lemmas
91,-0.14572261915833623,0.85,0.39,hdbscan_model_parahprase_max_adjs_verbs_embeddings,stop_word_removed_lemmas
92,-0.17900070701583465,0.7625,0.33,hdbscan_eng_model_adjs_verbs_embeddings,translated_nouns_adjs_verbs
93,-0.11689045953376948,0.86875,0.33,hdbscan_eng_model_adjs_verbs_embeddings,nouns_adjs_verbs
94,-0.15789240070959287,0.775,0.33,hdbscan_eng_model_adjs_verbs_embeddings,translated_stop_word_removed_lemmas
95,-0.05607544311400438,0.8625,0.33,hdbscan_eng_model_adjs_verbs_embeddings,stop_word_removed_lemmas
96,-0.1788654809383759,0.71875,0.61,hdbscan_model_labse_nouns_embeddings,translated_nouns_adjs_verbs
97,-0.18069168186433768,0.80625,0.61,hdbscan_model_labse_nouns_embeddings,nouns_adjs_verbs
98,-0.17326139868776128,0.7375,0.61,hdbscan_model_labse_nouns_embeddings,translated_stop_word_removed_lemmas
99,-0.15959104494695675,0.81875,0.61,hdbscan_model_labse_nouns_embeddings,stop_word_removed_lemmas
100,-0.184915728218716,0.75625,0.64,hdbscan_model_parahprase_min_nouns_embeddings,translated_nouns_adjs_verbs
101,-0.18190513862474,0.8125,0.64,hdbscan_model_parahprase_min_nouns_embeddings,nouns_adjs_verbs
102,-0.1868535592036905,0.76875,0.64,hdbscan_model_parahprase_min_nouns_embeddings,translated_stop_word_removed_lemmas
103,-0.16393849385573223,0.85,0.64,hdbscan_model_parahprase_min_nouns_embeddings,stop_word_removed_lemmas
